Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
11,1.00
12,1.00
13,1.00
14,1.00
15,1.00
16,1.00
17,1.00
18,1.00
19,1.00
20,1.00
21,1.00
22,1.00
23,1.00
24,1.00
25,1.00
26,1.00
27,1.00
28,1.00
29,1.00
30,1.00
31,1.00
32,1.00
33,1.00
34,1.00
35,1.00
36,1.00
37,1.00
38,1.00
39,1.00
40,1.00
41,1.00
42,1.00
43,1.00
44,1.00
45,1.00
46,1.00
47,1.00
48,1.00
49,1.00
50,1.00
51,1.00
52,1.00
53,1.00
54,1.00
55,1.00
56,1.00
57,1.00
58,1.00
59,1.00
60,1.00
61,1.00
62,1.00
63,1.00
64,1.00
65,1.00
66,1.00
67,1.00
68,1.00
69,1.00
70,1.00
71,1.00
72,1.00
73,1.00
74,1.00
75,1.00
76,1.00
77,1.00
78,1.00
79,1.00
80,1.00
81,1.00
82,1.00
83,1.00
84,1.00
85,1.00
86,1.00
87,1.00
88,1.00
89,1.00
90,1.00
91,1.00
92,1.00
93,1.00
94,1.00
95,1.00
96,1.00
97,1.00
98,1.00
99,1.00
100,1.00
101,1.00
102,1.00
103,1.00
104,1.00
105,1.00
106,1.00
107,1.00
108,1.00
109,1.00
110,1.00
111,1.00
112,1.00
113,1.00
114,1.00
115,1.00
116,1.00
117,1.00
118,1.00
119,1.00
120,1.00
121,1.00
122,1.00
123,1.00
124,1.00
125,1.00
126,1.00
127,1.00
128,1.00
129,1.00
130,1.00
131,1.00
132,1.00
133,1.00
134,1.00
135,1.00
136,1.00
137,1.00
138,1.00
139,1.00
140,1.00
141,1.00
142,1.00
143,1.00
144,1.00
145,1.00
146,1.00
147,1.00
148,1.00
149,1.00
150,1.00
151,1.00
152,1.00
153,1.00
154,1.00
155,1.00
156,1.00
157,1.00
158,1.00
159,1.00
160,1.00
161,2.00
162,2.00
163,2.00
164,2.00
165,2.00
166,2.00
167,2.00
168,2.00
169,2.00
170,2.00
171,2.00
172,2.00
173,2.00
174,2.00
175,2.00
176,2.00
177,2.00
178,2.00
179,2.00
180,2.00
181,2.00
182,2.00
183,2.00
184,2.00
185,2.00
186,2.00
187,2.00
188,2.00
189,2.00
190,2.00
191,2.00
192,2.00
193,2.00
194,2.00
195,2.00
196,2.00
197,2.00
198,2.00
199,2.00
200,2.00
201,2.00
202,2.00
203,2.00
204,2.00
205,2.00
206,2.00
207,2.00
208,2.00
209,2.00
210,2.00
211,2.00
212,2.00
213,2.00
214,2.00
215,2.00
216,2.00
217,2.00
218,2.00
219,2.00
220,2.00
221,2.00
222,2.00
223,2.00
224,2.00
225,2.00
226,2.00
227,2.00
228,2.00
229,2.00
230,2.00
231,2.00
232,2.00
233,2.00
234,2.00
235,2.00
236,2.00
237,2.00
238,2.00
239,2.00
240,2.00
241,2.00
242,2.00
243,2.00
244,2.00
245,2.00
246,2.00
247,2.00
248,2.00
249,2.00
250,2.00
251,2.00
252,2.00
253,2.00
254,2.00
255,2.00
256,2.00
257,2.00
258,2.00
259,2.00
260,2.00
261,2.00
262,2.00
263,2.00
264,2.00
265,2.00
266,2.00
267,2.00
268,2.00
269,2.00
270,2.00
271,2.00
272,2.00
273,2.00
274,2.00
275,2.00
276,2.00
277,2.00
278,2.00
279,2.00
280,2.00
281,2.00
282,2.00
283,2.00
284,2.00
285,2.00
286,2.00
287,2.00
288,2.00
289,2.00
290,2.00
291,2.00
292,2.00
293,2.00
294,2.00
295,2.00
296,2.00
297,2.00
298,2.00
299,2.00
300,2.00
301,2.00
302,2.00
303,2.00
304,2.00
305,2.00
306,2.00
307,2.00
308,2.00
309,2.00
310,2.00
311,2.00
312,2.00
313,2.00
314,2.00
315,2.00
316,2.00
317,2.00
318,2.00
319,2.00
320,2.00
321,2.00
322,2.00
323,2.00
324,2.00
325,2.00
326,2.00
327,2.00
328,2.00
329,2.00
330,2.00
331,2.00
332,2.00
333,2.00
334,2.00
335,2.00
336,2.00
337,2.00
338,2.00
339,2.00
340,2.00
341,2.00
342,2.00
343,2.00
344,2.00
345,2.00
346,2.00
347,2.00
348,2.00
349,2.00
350,2.00
351,2.00
352,2.00
353,2.00
354,2.00
355,2.00
356,2.00
357,2.00
358,2.00
359,2.00
360,2.00
361,2.00
362,2.00
363,2.00
364,2.00
365,2.00
366,2.00
367,2.00
368,2.00
369,2.00
370,2.00
371,2.00
372,2.00
373,2.00
374,2.00
375,2.00
376,2.00
377,2.00
378,2.00
379,2.00
380,2.00
381,2.00
382,2.00
383,2.00
384,2.00
385,2.00
386,2.00
387,2.00
388,2.00
389,2.00
390,2.00
391,2.00
392,2.00
393,2.00
394,2.00
395,2.00
396,2.00
397,2.00
398,2.00
399,2.00
400,2.00
401,2.00
402,2.00
403,2.00
404,2.00
405,2.00
406,2.00
407,2.00
408,2.00
409,2.00
410,2.00
411,2.00
412,2.00
413,2.00
414,2.00
415,2.00
416,2.00
417,2.00
418,2.00
419,2.00
420,2.00
421,2.00
422,2.00
423,2.00
424,2.00
425,2.00
426,2.00
427,2.00
428,2.00
429,2.00
430,2.00
431,2.00
432,2.00
433,2.00
434,2.00
435,2.00
436,2.00
437,2.00
438,2.00
439,2.00
440,2.00
441,2.00
442,2.00
443,2.00
444,2.00
445,2.00
446,2.00
447,2.00
448,2.00
449,2.00
450,2.00
451,2.00
452,2.00
453,2.00
454,2.00
455,2.00
456,2.00
457,2.00
458,2.00
459,2.00
460,2.00
461,2.00
462,2.00
463,2.00
464,2.00
465,2.00
466,2.00
467,2.00
468,2.00
469,2.00
470,2.00
471,2.00
472,2.00
473,2.00
474,2.00
475,2.00
476,2.00
477,2.00
478,2.00
479,2.00
480,2.00
481,2.00
482,2.00
483,2.00
484,2.00
485,2.00
486,2.00
487,2.00
488,2.00
489,2.00
490,2.00
491,2.00
492,2.00
493,2.00
494,2.00
495,2.00
496,2.00
497,2.00
498,2.00
499,2.00
500,2.00
501,2.00
502,2.00
503,2.00
504,2.00
505,2.00
506,2.00
507,2.00
508,2.00
509,2.00
510,2.00
511,2.00
512,2.00
513,2.00
514,2.00
515,2.00
516,2.00
517,2.00
518,2.00
519,2.00
520,2.00
521,2.00
522,2.00
523,2.00
524,2.00
525,2.00
526,2.00
527,2.00
528,2.00
529,2.00
530,2.00
531,2.00
532,2.00
533,2.00
534,2.00
535,2.00
536,2.00
537,2.00
538,2.00
539,2.00
540,2.00
541,2.00
542,2.00
543,2.00
544,2.00
545,2.00
546,2.00
547,2.00
548,2.00
549,2.00
550,2.00
551,2.00
552,2.00
553,2.00
554,2.00
555,2.00
556,2.00
557,2.00
558,2.00
559,2.00
560,2.00
561,2.00
562,2.00
563,2.00
564,2.00
565,2.00
566,2.00
567,2.00
568,2.00
569,2.00
570,2.00
571,2.00
572,2.00
573,2.00
574,2.00
575,2.00
576,2.00
577,2.00
578,2.00
579,2.00
580,2.00
581,2.00
582,2.00
583,2.00
584,2.00
585,2.00
586,2.00
587,2.00
588,2.00
589,2.00
590,2.00
591,2.00
592,2.00
593,2.00
594,2.00
595,2.00
596,2.00
597,2.00
598,2.00
599,2.00
600,2.00
601,2.00
602,2.00
603,2.00
604,2.00
605,2.00
606,2.00
607,2.00
608,2.00
609,2.00
610,2.00
611,2.00
612,2.00
613,2.00
614,2.00
615,2.00
616,2.00
617,2.00
618,2.00
619,2.00
620,2.00
621,2.00
622,2.00
623,2.00
624,2.00
625,2.00
626,2.00
627,2.00
628,2.00
629,2.00
630,2.00
631,2.00
632,2.00
633,2.00
634,2.00
635,2.00
636,2.00
637,2.00
638,2.00
639,2.00
640,2.00
641,2.00
642,2.00
643,2.00
644,2.00
645,2.00
646,2.00
647,2.00
648,2.00
649,2.00
650,2.00
651,2.00
652,2.00
653,2.00
654,2.00
655,2.00
656,2.00
657,2.00
658,2.00
659,2.00
660,2.00
661,2.00
662,2.00
663,2.00
664,2.00
665,2.00
666,2.00
667,2.00
668,2.00
669,2.00
670,2.00
671,2.00
672,2.00
673,2.00
674,2.00
675,2.00
676,2.00
677,2.00
678,2.00
679,2.00
680,2.00
681,2.00
682,2.00
683,2.00
684,2.00
685,2.00
686,2.00
687,2.00
688,2.00
689,2.00
690,2.00
691,2.00
692,2.00
693,2.00
694,2.00
695,2.00
696,2.00
697,2.00
698,2.00
699,2.00
700,2.00
701,2.00
702,2.00
703,2.00
704,2.00
705,2.00
706,2.00
707,2.00
708,2.00
709,2.00
710,2.00
711,2.00
712,2.00
713,2.00
714,2.00
715,2.00
716,2.00
717,2.00
718,2.00
719,2.00
720,2.00
721,2.00
722,2.00
723,2.00
724,2.00
725,2.00
726,2.00
727,2.00
728,2.00
729,2.00
730,2.00
731,2.00
732,2.00
733,2.00
734,2.00
735,2.00
736,2.00
737,2.00
738,2.00
739,2.00
740,2.00
741,2.00
742,2.00
743,2.00
744,2.00
745,2.00
746,2.00
747,2.00
748,2.00
749,2.00
750,2.00
751,2.00
752,2.00
753,2.00
754,2.00
755,2.00
756,2.00
757,2.00
758,2.00
759,2.00
760,2.00
761,2.00
762,2.00
763,2.00
764,2.00
765,2.00
766,2.00
767,2.00
768,2.00
769,2.00
770,2.00
771,2.00
772,2.00
773,2.00
774,2.00
775,2.00
776,2.00
777,2.00
778,2.00
779,2.00
780,2.00
781,2.00
782,2.00
783,2.00
784,2.00
785,2.00
786,2.00
787,2.00
788,2.00
789,2.00
790,2.00
791,2.00
792,2.00
793,2.00
794,2.00
795,2.00
796,2.00
797,2.00
798,2.00
799,2.00
800,2.00
801,2.00
802,2.00
803,2.00
804,2.00
805,2.00
806,2.00
807,2.00
808,2.00
809,2.00
810,2.00
811,2.00
812,2.00
813,2.00
814,2.00
815,2.00
816,2.00
817,2.00
818,2.00
819,2.00
820,2.00
821,2.00
822,2.00
823,2.00
824,2.00
825,2.00
826,2.00
827,2.00
828,2.00
829,2.00
830,2.00
831,2.00
832,2.00
833,2.00
834,2.00
835,2.00
836,2.00
837,2.00
838,2.00
839,2.00
840,2.00
841,2.00
842,2.00
843,2.00
844,2.00
845,2.00
846,2.00
847,2.00
848,2.00
849,2.00
850,2.00
851,2.00
852,2.00
853,2.00
854,2.00
855,2.00
856,2.00
857,2.00
858,2.00
859,2.00
860,2.00
861,2.00
862,2.00
863,2.00
864,2.00
865,2.00
866,2.00
867,2.00
868,2.00
869,2.00
870,2.00
871,2.00
872,2.00
873,2.00
874,2.00
875,2.00
876,2.00
877,2.00
878,2.00
879,2.00
880,2.00
881,2.00
882,2.00
883,2.00
884,2.00
885,2.00
886,2.00
887,2.00
888,2.00
889,2.00
890,2.00
891,2.00
892,2.00
893,2.00
894,2.00
895,2.00
896,2.00
897,2.00
898,2.00
899,2.00
900,2.00
901,2.00
902,2.00
903,2.00
904,2.00
905,2.00
906,2.00
907,2.00
908,2.00
909,2.00
910,2.00
911,2.00
912,2.00
913,2.00
914,2.00
915,2.00
916,2.00
917,2.00
918,2.00
919,2.00
920,2.00
921,2.00
922,2.00
923,2.00
924,2.00
925,2.00
926,2.00
927,2.00
928,2.00
929,2.00
930,2.00
931,2.00
932,2.00
933,2.00
934,2.00
935,2.00
936,2.00
937,2.00
938,2.00
939,2.00
940,2.00
941,2.00
942,2.00
943,2.00
944,2.00
945,2.00
946,2.00
947,2.00
948,2.00
949,2.00
950,2.00
951,2.00
952,2.00
953,2.00
954,2.00
955,2.00
956,2.00
957,2.00
958,2.00
959,2.00
960,2.00
961,2.00
962,2.00
963,2.00
964,2.00
965,2.00
966,2.00
967,2.00
968,2.00
969,2.00
970,2.00
971,2.00
972,2.00
973,2.00
974,2.00
975,2.00
976,2.00
977,2.00
978,2.00
979,2.00
980,2.00
981,2.00
982,2.00
983,2.00
984,2.00
985,2.00
986,2.00
987,2.00
988,2.00
989,2.00
990,2.00
991,2.00
992,2.00
993,2.00
994,2.00
995,2.00
996,2.00
997,2.00
998,2.00
999,2.00
1000,2.00
1001,2.00
1002,2.00
1003,2.00
1004,2.00
1005,2.00
1006,2.00
1007,2.00
1008,2.00
1009,2.00
1010,2.00
1011,2.00
1012,2.00
1013,2.00
1014,2.00
1015,2.00
1016,2.00
1017,2.00
1018,2.00
1019,2.00
1020,2.00
1021,2.00
1022,2.00
1023,2.00
1024,2.00
1025,2.00
1026,2.00
1027,2.00
1028,2.00
1029,2.00
1030,2.00
1031,2.00
1032,2.00
1033,2.00
1034,2.00
1035,2.00
1036,2.00
1037,2.00
1038,2.00
1039,2.00
1040,2.00
1041,2.00
1042,2.00
1043,2.00
1044,2.00
1045,2.00
1046,2.00
1047,2.00
1048,2.00
1049,2.00
1050,2.00
1051,2.00
1052,2.00
1053,2.00
1054,2.00
1055,2.00
1056,2.00
1057,2.00
1058,2.00
1059,2.00
1060,2.00
1061,2.00
1062,2.00
1063,2.00
1064,2.00
1065,2.00
1066,2.00
1067,2.00
1068,2.00
1069,2.00
1070,2.00
1071,2.00
1072,2.00
1073,2.00
1074,2.00
1075,2.00
1076,2.00
1077,2.00
1078,2.00
1079,2.00
1080,2.00
1081,2.00
1082,2.00
1083,2.00
1084,2.00
1085,2.00
1086,2.00
1087,2.00
1088,2.00
1089,2.00
1090,2.00
1091,2.00
1092,2.00
1093,2.00
1094,2.00
1095,2.00
1096,2.00
1097,2.00
1098,2.00
1099,2.00
1100,2.00
1101,2.00
1102,2.00
1103,2.00
1104,2.00
1105,2.00
1106,2.00
1107,2.00
1108,2.00
1109,2.00
1110,2.00
1111,2.00
1112,2.00
1113,2.00
1114,2.00
1115,2.00
1116,2.00
1117,2.00
1118,2.00
1119,2.00
1120,2.00
1121,2.00
1122,2.00
1123,2.00
1124,2.00
1125,2.00
1126,2.00
1127,2.00
1128,2.00
1129,2.00
1130,2.00
1131,2.00
1132,2.00
1133,2.00
