Position,Coverage
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,1.00
20,1.00
21,1.00
22,1.00
23,1.00
24,1.00
25,1.00
26,1.00
27,1.00
28,1.00
29,1.00
30,1.00
31,1.00
32,1.00
33,1.00
34,1.00
35,1.00
36,1.00
37,1.00
38,1.00
39,1.00
40,1.00
41,1.00
42,2.00
43,2.00
44,2.00
45,3.00
46,3.00
47,3.00
48,3.00
49,5.00
50,6.00
51,6.00
52,6.00
53,7.00
54,8.00
55,8.00
56,9.00
57,9.00
58,9.00
59,10.00
60,11.00
61,11.00
62,11.00
63,11.00
64,11.00
65,12.00
66,12.00
67,12.00
68,14.00
69,14.00
70,14.00
71,14.00
72,14.00
73,14.00
74,14.00
75,14.00
76,15.00
77,15.00
78,15.00
79,15.00
80,15.00
81,15.00
82,15.00
83,15.00
84,15.00
85,15.00
86,15.00
87,15.00
88,15.00
89,15.00
90,15.00
91,15.00
92,15.00
93,15.00
94,15.00
95,15.00
96,15.00
97,15.00
98,15.00
99,15.00
100,15.00
101,15.00
102,15.00
103,15.00
104,15.00
105,15.00
106,15.00
107,15.00
108,15.00
109,15.00
110,15.00
111,15.00
112,15.00
113,15.00
114,15.00
115,15.00
116,15.00
117,15.00
118,15.00
119,15.00
120,15.00
121,15.00
122,15.00
123,15.00
124,15.00
125,15.00
126,15.00
127,15.00
128,15.00
129,15.00
130,15.00
131,15.00
132,15.00
133,15.00
134,15.00
135,15.00
136,15.00
137,15.00
138,15.00
139,15.00
140,15.00
141,15.00
142,15.00
143,15.00
144,15.00
145,15.00
146,16.00
147,16.00
148,16.00
149,16.00
150,16.00
151,16.00
152,16.00
153,16.00
154,16.00
155,16.00
156,16.00
157,16.00
158,16.00
159,16.00
160,16.00
161,16.00
162,16.00
163,16.00
164,16.00
165,16.00
166,16.00
167,16.00
168,16.00
169,16.00
170,16.00
171,16.00
172,16.00
173,16.00
174,16.00
175,16.00
176,16.00
177,16.00
178,16.00
